HOLIBOBS — Client Recommendations,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top five eligible matches, confidence indicators and a personalised compatibility explanation.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination ID,Destination,Region,Admin enabled?,Flight total,Stay total,Food total,Local transport,Activities,Other,Estimated trip total,Usable budget,Budget headroom,Budget feasible?,Season score,Season eligible?,Similarity % (continuous),Eligible?,"Precise fit score (0–1000, 1dp)",Average preference gap (0–9),Rank: fit → season → headroom,Recommendation explanation,Budget Match (20% sweet spot),Season Match,Adventure Match,Food Match,Overall Match
FR,France,Europe,Yes,£150,£130,£100,£36,£60,£35,£511,£800,£289,Yes,8.5,Yes,76%,Yes,762.2,2.14,11,Overall 76% | Budget 80% | Season 85% | Adventure 78% | Food 94%,80%,0.85,0.7777777778,0.9444444444,76%
ES,Spain,Europe,Yes,£160,£100,£80,£30,£56,£35,£461,£800,£339,Yes,7.5,Yes,85%,Yes,854.1,1.31,2,Overall 85% | Budget 72% | Season 75% | Adventure 89% | Food 94%,72%,0.75,0.8888888889,0.9444444444,85%
IT,Italy,Europe,Yes,£180,£120,£90,£32,£64,£35,£521,£800,£279,Yes,8,Yes,79%,Yes,789.3,1.9,9,Overall 79% | Budget 81% | Season 80% | Adventure 83% | Food 83%,81%,0.8,0.8333333333,0.8333333333,79%
TR,Türkiye,Europe / Asia,Yes,£280,£65,£50,£24,£44,£35,£498,£800,£302,Yes,7.5,Yes,83%,Yes,828,1.55,5,Overall 83% | Budget 78% | Season 75% | Adventure 100% | Food 100%,78%,0.75,1,1,83%
GB,United Kingdom,Europe,Yes,£80,£140,£110,£40,£70,£35,£475,£800,£325,Yes,8,Yes,76%,Yes,760.9,2.15,12,Overall 76% | Budget 74% | Season 80% | Adventure 78% | Food 89%,74%,0.8,0.7777777778,0.8888888889,76%
DE,Germany,Europe,Yes,£150,£110,£90,£36,£60,£35,£481,£800,£319,Yes,8.5,Yes,79%,Yes,794.3,1.85,8,Overall 79% | Budget 75% | Season 85% | Adventure 83% | Food 89%,75%,0.85,0.8333333333,0.8888888889,79%
GR,Greece,Europe,Yes,£220,£95,£80,£30,£60,£35,£520,£800,£280,Yes,8,Yes,85%,Yes,852.5,1.33,3,Overall 85% | Budget 81% | Season 80% | Adventure 89% | Food 100%,81%,0.8,0.8888888889,1,85%
PT,Portugal,Europe,Yes,£170,£90,£70,£28,£52,£35,£445,£800,£355,Yes,8.5,Yes,93%,Yes,930.5,0.63,1,Overall 93% | Budget 70% | Season 85% | Adventure 100% | Food 100%,70%,0.85,1,1,93%
NL,Netherlands,Europe,Yes,£130,£145,£100,£36,£60,£35,£506,£800,£294,Yes,8,Yes,75%,Yes,751.2,2.24,14,Overall 75% | Budget 79% | Season 80% | Adventure 67% | Food 89%,79%,0.8,0.6666666667,0.8888888889,75%
AT,Austria,Europe,Yes,£160,£120,£90,£36,£64,£35,£505,£800,£295,Yes,9,Yes,80%,Yes,802,1.78,7,Overall 80% | Budget 79% | Season 90% | Adventure 94% | Food 94%,79%,0.9,0.9444444444,0.9444444444,80%
JP,Japan,Asia,Yes,£750,£100,£70,£36,£60,£35,"£1,051",£800,-£251,No,5,Yes,80%,No,799.2,1.81,,Budget over by £251,0%,0.5,1,0.8333333333,80%
TH,Thailand,Asia,Yes,£650,£55,£36,£20,£44,£35,£840,£800,-£40,No,6,Yes,84%,No,843.9,1.4,,Budget over by £40,0%,0.6,0.9444444444,0.8888888889,84%
CN,China,Asia,Yes,£700,£70,£50,£20,£48,£35,£923,£800,-£123,No,5.5,Yes,76%,No,763,2.13,,Budget over by £123,0%,0.55,0.9444444444,0.9444444444,76%
MY,Malaysia,Asia,Yes,£650,£50,£40,£18,£40,£35,£833,£800,-£33,No,7,Yes,86%,No,865,1.22,,Budget over by £33,0%,0.7,0.9444444444,0.9444444444,86%
ID,Indonesia,Asia,Yes,£750,£55,£36,£18,£44,£35,£938,£800,-£138,No,9.5,Yes,84%,No,837.1,1.47,,Budget over by £138,0%,0.95,0.8333333333,0.9444444444,84%
IN,India,Asia,Yes,£550,£40,£30,£16,£36,£35,£707,£800,£93,Yes,4.5,Yes,76%,Yes,758.2,2.18,13,Overall 76% | Budget 58% | Season 45% | Adventure 89% | Food 89%,58%,0.45,0.8888888889,0.8888888889,76%
MA,Morocco,Africa,Yes,£180,£55,£40,£20,£40,£35,£370,£800,£430,Yes,5.5,Yes,84%,Yes,840,1.44,4,Overall 84% | Budget 58% | Season 55% | Adventure 100% | Food 94%,58%,0.55,1,0.9444444444,84%
ZA,South Africa,Africa,Yes,£650,£75,£60,£28,£56,£35,£904,£800,-£104,No,7.5,Yes,81%,No,811.2,1.7,,Budget over by £104,0%,0.75,0.8333333333,1,81%
EG,Egypt,Africa,Yes,£350,£45,£36,£16,£44,£35,£526,£800,£274,Yes,4,Yes,81%,Yes,805.2,1.75,6,Overall 81% | Budget 82% | Season 40% | Adventure 100% | Food 89%,82%,0.4,1,0.8888888889,81%
KE,Kenya,Africa,Yes,£600,£70,£50,£28,£60,£35,£843,£800,-£43,No,9,Yes,77%,No,774.5,2.03,,Budget over by £43,0%,0.9,0.8333333333,0.8888888889,77%
