UK-Origin Estimated Cost Components,,,,,,,,,,,,,
Destination-specific mid-range planning values. Ground costs use real-traveller category data; UK return flights remain planning bands until a live fare feed is connected.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Destination ID,Destination,Return flight pp,Accommodation / room / night,Food pp / day,Local transport pp / day,Activities pp / day,Other fixed / booking,Typical rooms per 2 people,Checked date,Origin airports / method,Source URL,Confidence,Data status
FR,France,£150,£130,£50,£18,£30,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/france,Medium,ILLUSTRATIVE ESTIMATE
ES,Spain,£160,£100,£40,£15,£28,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/spain,Medium,ILLUSTRATIVE ESTIMATE
IT,Italy,£180,£120,£45,£16,£32,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/italy,Medium,ILLUSTRATIVE ESTIMATE
TR,Türkiye,£280,£65,£25,£12,£22,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/turkey,Medium,ILLUSTRATIVE ESTIMATE
GB,United Kingdom,£80,£140,£55,£20,£35,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/united-kingdom,Medium,ILLUSTRATIVE ESTIMATE
DE,Germany,£150,£110,£45,£18,£30,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/germany,Medium,ILLUSTRATIVE ESTIMATE
GR,Greece,£220,£95,£40,£15,£30,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/greece,Medium,ILLUSTRATIVE ESTIMATE
PT,Portugal,£170,£90,£35,£14,£26,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/portugal,Medium,ILLUSTRATIVE ESTIMATE
NL,Netherlands,£130,£145,£50,£18,£30,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/netherlands,Medium,ILLUSTRATIVE ESTIMATE
AT,Austria,£160,£120,£45,£18,£32,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/austria,Medium,ILLUSTRATIVE ESTIMATE
JP,Japan,£750,£100,£35,£18,£30,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/japan,Medium,ILLUSTRATIVE ESTIMATE
TH,Thailand,£650,£55,£18,£10,£22,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/thailand,Medium,ILLUSTRATIVE ESTIMATE
CN,China,£700,£70,£25,£10,£24,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/china,Medium,ILLUSTRATIVE ESTIMATE
MY,Malaysia,£650,£50,£20,£9,£20,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/malaysia,Medium,ILLUSTRATIVE ESTIMATE
ID,Indonesia,£750,£55,£18,£9,£22,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/indonesia,Medium,ILLUSTRATIVE ESTIMATE
IN,India,£550,£40,£15,£8,£18,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/india,Medium,ILLUSTRATIVE ESTIMATE
MA,Morocco,£180,£55,£20,£10,£20,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/morocco,Medium,ILLUSTRATIVE ESTIMATE
ZA,South Africa,£650,£75,£30,£14,£28,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/south-africa,Medium,ILLUSTRATIVE ESTIMATE
EG,Egypt,£350,£45,£18,£8,£22,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/egypt,Medium,ILLUSTRATIVE ESTIMATE
KE,Kenya,£600,£70,£25,£14,£30,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/kenya,Medium,ILLUSTRATIVE ESTIMATE
US,United States,£500,£160,£55,£25,£40,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/united-states,Medium,ILLUSTRATIVE ESTIMATE
CA,Canada,£500,£140,£50,£22,£38,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/canada,Medium,ILLUSTRATIVE ESTIMATE
MX,Mexico,£650,£70,£25,£12,£25,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/mexico,Medium,ILLUSTRATIVE ESTIMATE
BR,Brazil,£700,£60,£25,£12,£25,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/brazil,Medium,ILLUSTRATIVE ESTIMATE
DO,Dominican Republic,£700,£100,£30,£12,£25,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/dominican-republic,Medium,ILLUSTRATIVE ESTIMATE
CR,Costa Rica,£650,£100,£35,£15,£35,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/costa-rica,Medium,ILLUSTRATIVE ESTIMATE
AE,United Arab Emirates,£450,£120,£45,£22,£40,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/united-arab-emirates,Medium,ILLUSTRATIVE ESTIMATE
JO,Jordan,£350,£70,£30,£15,£30,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/jordan,Medium,ILLUSTRATIVE ESTIMATE
AU,Australia,£950,£140,£55,£25,£40,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/australia,Medium,ILLUSTRATIVE ESTIMATE
NZ,New Zealand,"£1,050",£130,£50,£22,£38,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/new-zealand,Medium,ILLUSTRATIVE ESTIMATE
FJ,Fiji,"£1,200",£160,£45,£18,£45,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/fiji,Medium,ILLUSTRATIVE ESTIMATE
SG,Singapore,£650,£140,£35,£18,£35,£35,1.0,2026-08-06,Ground costs: mid-range planning values calibrated to Budget Your Trip real-traveller categories. Flight: UK return planning band; replace with live fare feed.,https://www.budgetyourtrip.com/singapore,Medium,ILLUSTRATIVE ESTIMATE
UK_LOCAL,UK Local Staycation,£0,£0,£15,£8,£7,£10,1.0,2026-08-09,"Illustrative incremental home-base staycation costs: no paid accommodation or flight; food, local travel and low-cost activities only.",,Low,ILLUSTRATIVE ESTIMATE
